"Timestamp","Pod","CPU","Memory"
"2026-09-24 22:36:45","checkoutservice-6d5bbfc8d6-55hd9","2m","7Mi"
"2026-09-24 22:36:45","currencyservice-7b464d8f4-qlc88","7m","35Mi"
"2026-09-24 22:36:45","emailservice-59df94958d-t48wk","2m","36Mi"
"2026-09-24 22:36:45","frontend-5b8448977c-5jxjk","13m","12Mi"
"2026-09-24 22:36:45","loadgenerator-6fff97bdcb-cgwr5","5m","52Mi"
"2026-09-24 22:36:45","paymentservice-6db878877b-bcp6p","1m","33Mi"
"2026-09-24 22:36:45","productcatalogservice-6b76846956-dctmj","7m","8Mi"
"2026-09-24 22:36:45","recommendationservice-7fdb6dcfbd-pq5f7","6m","31Mi"
"2026-09-24 22:36:45","redis-cart-c4fc658fb-xjmxp","3m","5Mi"
"2026-09-24 22:36:45","shippingservice-578b659b76-h4xrf","1m","6Mi"
"2026-09-24 22:37:17","adservice-6dc7474b84-ch84q","2m","97Mi"
"2026-09-24 22:37:17","cartservice-846f67dc67-2h7q8","7m","63Mi"
"2026-09-24 22:37:17","checkoutservice-6d5bbfc8d6-55hd9","2m","7Mi"
"2026-09-24 22:37:17","currencyservice-7b464d8f4-qlc88","9m","35Mi"
"2026-09-24 22:37:17","emailservice-59df94958d-t48wk","3m","36Mi"
"2026-09-24 22:37:17","frontend-5b8448977c-5jxjk","15m","12Mi"
"2026-09-24 22:37:17","loadgenerator-6fff97bdcb-cgwr5","5m","52Mi"
"2026-09-24 22:37:17","paymentservice-6db878877b-bcp6p","1m","33Mi"
"2026-09-24 22:37:17","productcatalogservice-6b76846956-dctmj","7m","8Mi"
"2026-09-24 22:37:17","recommendationservice-7fdb6dcfbd-pq5f7","7m","31Mi"
"2026-09-24 22:37:17","redis-cart-c4fc658fb-xjmxp","3m","5Mi"
"2026-09-24 22:37:17","shippingservice-578b659b76-h4xrf","1m","6Mi"
"2026-09-24 22:37:49","adservice-6dc7474b84-ch84q","2m","97Mi"
"2026-09-24 22:37:49","cartservice-846f67dc67-2h7q8","7m","63Mi"
"2026-09-24 22:37:49","checkoutservice-6d5bbfc8d6-55hd9","1m","8Mi"
"2026-09-24 22:37:49","currencyservice-7b464d8f4-qlc88","10m","35Mi"
"2026-09-24 22:37:49","emailservice-59df94958d-t48wk","2m","36Mi"
"2026-09-24 22:37:49","frontend-5b8448977c-5jxjk","15m","12Mi"
"2026-09-24 22:37:49","loadgenerator-6fff97bdcb-cgwr5","5m","52Mi"
"2026-09-24 22:37:49","paymentservice-6db878877b-bcp6p","1m","33Mi"
"2026-09-24 22:37:49","productcatalogservice-6b76846956-dctmj","5m","8Mi"
"2026-09-24 22:37:49","recommendationservice-7fdb6dcfbd-pq5f7","6m","31Mi"
"2026-09-24 22:37:49","redis-cart-c4fc658fb-xjmxp","3m","5Mi"
"2026-09-24 22:37:49","shippingservice-578b659b76-h4xrf","1m","6Mi"
"2026-09-24 22:38:21","adservice-6dc7474b84-ch84q","2m","97Mi"
"2026-09-24 22:38:21","cartservice-846f67dc67-2h7q8","7m","63Mi"
"2026-09-24 22:38:21","checkoutservice-6d5bbfc8d6-55hd9","2m","8Mi"
"2026-09-24 22:38:21","currencyservice-7b464d8f4-qlc88","11m","35Mi"
"2026-09-24 22:38:21","emailservice-59df94958d-t48wk","2m","36Mi"
"2026-09-24 22:38:21","frontend-5b8448977c-5jxjk","16m","12Mi"
"2026-09-24 22:38:21","loadgenerator-6fff97bdcb-cgwr5","5m","52Mi"
"2026-09-24 22:38:21","paymentservice-6db878877b-bcp6p","1m","33Mi"
"2026-09-24 22:38:21","productcatalogservice-6b76846956-dctmj","7m","8Mi"
"2026-09-24 22:38:21","recommendationservice-7fdb6dcfbd-pq5f7","9m","31Mi"
"2026-09-24 22:38:21","redis-cart-c4fc658fb-xjmxp","3m","5Mi"
"2026-09-24 22:38:21","shippingservice-578b659b76-h4xrf","1m","6Mi"
"2026-09-24 22:38:53","adservice-6dc7474b84-ch84q","2m","97Mi"
"2026-09-24 22:38:53","cartservice-846f67dc67-2h7q8","6m","63Mi"
"2026-09-24 22:38:53","checkoutservice-6d5bbfc8d6-55hd9","1m","8Mi"
"2026-09-24 22:38:53","currencyservice-7b464d8f4-qlc88","7m","35Mi"
"2026-09-24 22:38:53","emailservice-59df94958d-t48wk","2m","36Mi"
"2026-09-24 22:38:53","frontend-5b8448977c-5jxjk","14m","12Mi"
"2026-09-24 22:38:53","loadgenerator-6fff97bdcb-cgwr5","4m","52Mi"
"2026-09-24 22:38:53","paymentservice-6db878877b-bcp6p","3m","33Mi"
"2026-09-24 22:38:53","productcatalogservice-6b76846956-dctmj","7m","8Mi"
"2026-09-24 22:38:53","recommendationservice-7fdb6dcfbd-pq5f7","8m","31Mi"
"2026-09-24 22:38:53","redis-cart-c4fc658fb-xjmxp","3m","5Mi"
"2026-09-24 22:38:53","shippingservice-578b659b76-h4xrf","1m","6Mi"
"2026-09-24 22:39:25","adservice-6dc7474b84-ch84q","2m","98Mi"
"2026-09-24 22:39:25","cartservice-846f67dc67-2h7q8","5m","63Mi"
"2026-09-24 22:39:25","checkoutservice-6d5bbfc8d6-55hd9","1m","8Mi"
"2026-09-24 22:39:25","currencyservice-7b464d8f4-qlc88","7m","35Mi"
"2026-09-24 22:39:25","emailservice-59df94958d-t48wk","2m","36Mi"
"2026-09-24 22:39:25","frontend-5b8448977c-5jxjk","13m","12Mi"
"2026-09-24 22:39:25","loadgenerator-6fff97bdcb-cgwr5","5m","52Mi"
"2026-09-24 22:39:25","paymentservice-6db878877b-bcp6p","1m","33Mi"
"2026-09-24 22:39:25","productcatalogservice-6b76846956-dctmj","7m","8Mi"
"2026-09-24 22:39:25","recommendationservice-7fdb6dcfbd-pq5f7","7m","31Mi"
"2026-09-24 22:39:25","redis-cart-c4fc658fb-xjmxp","3m","5Mi"
"2026-09-24 22:39:25","shippingservice-578b659b76-h4xrf","1m","6Mi"
